tabela,coluna,tipo,dominio_exemplo,minimo,maximo,descricao
silver_cartoes,atleta,string,"Paulo Roberto da Silva, Thiago Heleno, Andrés D'Alessandro, Marcelo Machado dos Santos, Mansur, Juan Silveira dos Santos, Vinícius Santos Silva, Carlos Emiliano Pereira, Cristian Chagas Tarouco, Rhayner",N/A,N/A,"Coluna 'atleta' da tabela 'silver_cartoes', do tipo 'string'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_cartoes,cartao,string,"Amarelo, Vermelho",N/A,N/A,"Coluna 'cartao' da tabela 'silver_cartoes', do tipo 'string'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_cartoes,clube,string,"Figueirense, Internacional, Vitoria, Coritiba, Bahia, Cruzeiro, Botafogo-rj, Sao Paulo, Athletico-pr, Gremio",N/A,N/A,"Coluna 'clube' da tabela 'silver_cartoes', do tipo 'string'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_cartoes,ingestao_dt,timestamp,2025-12-15 22:55:38.119914,N/A,N/A,"Coluna 'ingestao_dt' da tabela 'silver_cartoes', do tipo 'timestamp'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_cartoes,minuto,string,"66, 44, 72, 86, 10, 20, 82, 76, 78, 41",N/A,N/A,"Coluna 'minuto' da tabela 'silver_cartoes', do tipo 'string'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_cartoes,minuto_int,int,"66, 44, 72, 86, 10, 20, 82, 76, 78, 41",0,108,"Coluna 'minuto_int' da tabela 'silver_cartoes', do tipo 'int'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_cartoes,num_camisa,int,"28, 4, 10, 29, 30, 3, 15, 9, 40, 7",1,700,"Coluna 'num_camisa' da tabela 'silver_cartoes', do tipo 'int'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_cartoes,partida_id,int,"4607, 4608, 4609, 4612, 4611, 4610, 4614, 4615, 4616, 4617",4607,8405,"Coluna 'partida_id' da tabela 'silver_cartoes', do tipo 'int'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_cartoes,posicao,string,"Zagueiro, Meio-campo, Atacante, Goleiro",N/A,N/A,"Coluna 'posicao' da tabela 'silver_cartoes', do tipo 'string'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_cartoes,rodata,int,"1, 2, 3, 4, 5, 6, 7, 8, 9, 28",1,38,"Coluna 'rodata' da tabela 'silver_cartoes', do tipo 'int'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_cartoes,source,string,/Workspace/csv/campeonato-brasileiro-cartoes.csv,N/A,N/A,"Coluna 'source' da tabela 'silver_cartoes', do tipo 'string'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_estatisticas,cartao_amarelo,int,"0, 1, 4, 3, 5, 2, 6, 7, 8, 9",0,10,"Coluna 'cartao_amarelo' da tabela 'silver_estatisticas', do tipo 'int'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_estatisticas,cartao_vermelho,int,"0, 1, 2, 3",0,3,"Coluna 'cartao_vermelho' da tabela 'silver_estatisticas', do tipo 'int'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_estatisticas,chutes,int,"0, 9, 15, 10, 5, 14, 16, 13, 21, 8",0,37,"Coluna 'chutes' da tabela 'silver_estatisticas', do tipo 'int'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_estatisticas,chutes_no_alvo,int,"0, 11, 8, 2, 4, 5, 6, 1, 3, 9",0,18,"Coluna 'chutes_no_alvo' da tabela 'silver_estatisticas', do tipo 'int'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_estatisticas,clube,string,"Guarani, Vasco, Gremio, Athletico-pr, Coritiba, Flamengo, Paysandu, Goias, Ponte Preta, Internacional",N/A,N/A,"Coluna 'clube' da tabela 'silver_estatisticas', do tipo 'string'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_estatisticas,escanteios,int,"0, 5, 8, 6, 11, 2, 9, 4, 10, 1",0,23,"Coluna 'escanteios' da tabela 'silver_estatisticas', do tipo 'int'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_estatisticas,faltas,int,"0, 13, 19, 17, 18, 14, 10, 20, 16, 11",0,34,"Coluna 'faltas' da tabela 'silver_estatisticas', do tipo 'int'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_estatisticas,impedimentos,int,"0, 1, 3, 2, 4, 6, 5, 8, 7, 9",0,10,"Coluna 'impedimentos' da tabela 'silver_estatisticas', do tipo 'int'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_estatisticas,ingestao_dt,timestamp,2025-12-15 22:55:44.264679,N/A,N/A,"Coluna 'ingestao_dt' da tabela 'silver_estatisticas', do tipo 'timestamp'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_estatisticas,partida_id,int,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10",1,8405,"Coluna 'partida_id' da tabela 'silver_estatisticas', do tipo 'int'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_estatisticas,passes,int,"0, 509, 280, 471, 384, 360, 481, 357, 477, 363",0,848,"Coluna 'passes' da tabela 'silver_estatisticas', do tipo 'int'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
